Complex UI dirty round 2: 381.693 completed offscreen FPS; p95 3.5358 ms; private 31944704 bytes
Complex UI dirty round 3: 411.415 completed offscreen FPS; p95 2.8077 ms; private 31948800 bytes
Complex UI dirty round 4: 399.306 completed offscreen FPS; p95 3.1921 ms; private 31531008 bytes
Complex UI dirty round 5: 399.844 completed offscreen FPS; p95 3.0219 ms; private 32202752 bytes
Complex UI clean round 1: 2029.73 completed offscreen FPS; p95 0.5721 ms; private 31461376 bytes
Complex UI clean round 2: 1826.8 completed offscreen FPS; p95 0.6348 ms; private 31469568 bytes
Complex UI clean round 3: 1967.08 completed offscreen FPS; p95 0.5668 ms; private 31375360 bytes
Complex UI clean round 4: 1941.35 completed offscreen FPS; p95 0.6292 ms; private 31375360 bytes
Complex UI clean round 5: 1790.65 completed offscreen FPS; p95 0.6523 ms; private 31375360 bytes
Complex UI dirty round 1: 418.857 completed offscreen FPS; p95 3.1257 ms; private 32043008 bytes
Complex UI dirty round 2: 439.74 completed offscreen FPS; p95 3.0825 ms; private 32047104 bytes
Complex UI dirty round 3: 419.332 completed offscreen FPS; p95 2.6716 ms; private 32063488 bytes
Complex UI dirty round 4: 418.301 completed offscreen FPS; p95 2.753 ms; private 32399360 bytes
Complex UI dirty round 5: 396.249 completed offscreen FPS; p95 2.9207 ms; private 32931840 bytes
Complex UI clean round 1: 2035.07 completed offscreen FPS; p95 0.5854 ms; private 31543296 bytes
Complex UI clean round 2: 2052.46 completed offscreen FPS; p95 0.5722 ms; private 31543296 bytes
Complex UI clean round 3: 2018.55 completed offscreen FPS; p95 0.5691 ms; private 31543296 bytes
Complex UI clean round 4: 2034.87 completed offscreen FPS; p95 0.5588 ms; private 31543296 bytes
Complex UI clean round 5: 1948.28 completed offscreen FPS; p95 0.6153 ms; private 31477760 bytes
Complex UI dirty round 1: 390.031 completed offscreen FPS; p95 3.0796 ms; private 32882688 bytes
Complex UI dirty round 2: 427.218 completed offscreen FPS; p95 2.8255 ms; private 32980992 bytes
Complex UI dirty round 3: 417.072 completed offscreen FPS; p95 2.7987 ms; private 32489472 bytes
Complex UI dirty round 4: 413.087 completed offscreen FPS; p95 2.7086 ms; private 32251904 bytes
Complex UI dirty round 5: 415.411 completed offscreen FPS; p95 2.8833 ms; private 32112640 bytes
Complex UI clean round 1: 2223.79 completed offscreen FPS; p95 0.5371 ms; private 31956992 bytes
Complex UI clean round 2: 2180.62 completed offscreen FPS; p95 0.5704 ms; private 31830016 bytes
Complex UI clean round 3: 2057.46 completed offscreen FPS; p95 0.5417 ms; private 31830016 bytes
Complex UI clean round 4: 1993.35 completed offscreen FPS; p95 0.6356 ms; private 31830016 bytes
Complex UI clean round 5: 2290.19 completed offscreen FPS; p95 0.5326 ms; private 31830016 bytes
Complex UI dirty round 1: 421.938 completed offscreen FPS; p95 2.6645 ms; private 33042432 bytes
Complex UI dirty round 2: 409.057 completed offscreen FPS; p95 2.8608 ms; private 33181696 bytes
Complex UI dirty round 3: 447.423 completed offscreen FPS; p95 2.794 ms; private 33058816 bytes
Complex UI dirty round 4: 430.641 completed offscreen FPS; p95 2.673 ms; private 32899072 bytes
Complex UI dirty round 5: 407.587 completed offscreen FPS; p95 2.9451 ms; private 32440320 bytes
Complex UI clean round 1: 2038.04 completed offscreen FPS; p95 0.6319 ms; private 31883264 bytes
Complex UI clean round 2: 2139.85 completed offscreen FPS; p95 0.5744 ms; private 31899648 bytes
Complex UI clean round 3: 1598.86 completed offscreen FPS; p95 1.3356 ms; private 31899648 bytes
Complex UI clean round 4: 1993.83 completed offscreen FPS; p95 0.7652 ms; private 31899648 bytes
Complex UI clean round 5: 1921.09 completed offscreen FPS; p95 0.661 ms; private 31899648 bytes
Complex UI dirty round 1: 397.635 completed offscreen FPS; p95 2.9401 ms; private 32415744 bytes
Complex UI dirty round 2: 409.292 completed offscreen FPS; p95 2.7729 ms; private 32464896 bytes
Complex UI dirty round 3: 436.859 completed offscreen FPS; p95 2.7574 ms; private 32464896 bytes
Complex UI dirty round 4: 429.239 completed offscreen FPS; p95 2.7278 ms; private 32473088 bytes
Complex UI dirty round 5: 413.203 completed offscreen FPS; p95 2.8842 ms; private 32456704 bytes
Complex UI clean round 1: 2010.95 completed offscreen FPS; p95 0.8534 ms; private 31617024 bytes
Complex UI clean round 2: 2141.69 completed offscreen FPS; p95 0.5401 ms; private 31617024 bytes
Complex UI clean round 3: 2005.16 completed offscreen FPS; p95 0.609 ms; private 31617024 bytes
Complex UI clean round 4: 2003.73 completed offscreen FPS; p95 0.5639 ms; private 31625216 bytes
Complex UI clean round 5: 2059.54 completed offscreen FPS; p95 0.5418 ms; private 31633408 bytes
Complex UI dirty round 1: 395.931 completed offscreen FPS; p95 2.9695 ms; private 33157120 bytes
Complex UI dirty round 2: 407.271 completed offscreen FPS; p95 2.8236 ms; private 32968704 bytes
Complex UI dirty round 3: 414.114 completed offscreen FPS; p95 2.7183 ms; private 33214464 bytes
Complex UI dirty round 4: 410.652 completed offscreen FPS; p95 2.7984 ms; private 33218560 bytes
Complex UI dirty round 5: 371.407 completed offscreen FPS; p95 3.3985 ms; private 33218560 bytes
Complex UI clean round 1: 2082.65 completed offscreen FPS; p95 0.6075 ms; private 32567296 bytes
Complex UI clean round 2: 2180.78 completed offscreen FPS; p95 0.5122 ms; private 32567296 bytes
