Complex UI dirty round 2: 459.446 completed offscreen FPS; p95 2.5311 ms; private 32391168 bytes
Complex UI dirty round 3: 439.01 completed offscreen FPS; p95 2.7666 ms; private 32432128 bytes
Complex UI dirty round 4: 442.392 completed offscreen FPS; p95 2.7375 ms; private 32227328 bytes
Complex UI dirty round 5: 439.338 completed offscreen FPS; p95 3.2677 ms; private 31596544 bytes
Complex UI clean round 1: 1983.39 completed offscreen FPS; p95 0.7351 ms; private 31244288 bytes
Complex UI clean round 2: 2044.99 completed offscreen FPS; p95 0.5589 ms; private 31186944 bytes
Complex UI clean round 3: 2124.06 completed offscreen FPS; p95 0.5542 ms; private 31338496 bytes
Complex UI clean round 4: 2036.86 completed offscreen FPS; p95 0.689 ms; private 31358976 bytes
Complex UI clean round 5: 2128.28 completed offscreen FPS; p95 0.5387 ms; private 31367168 bytes
Complex UI dirty round 1: 393.811 completed offscreen FPS; p95 2.8365 ms; private 31510528 bytes
Complex UI dirty round 2: 404.455 completed offscreen FPS; p95 2.8501 ms; private 31584256 bytes
Complex UI dirty round 3: 416.117 completed offscreen FPS; p95 2.9172 ms; private 32714752 bytes
Complex UI dirty round 4: 436.675 completed offscreen FPS; p95 2.7794 ms; private 32677888 bytes
Complex UI dirty round 5: 410.464 completed offscreen FPS; p95 3.2938 ms; private 33689600 bytes
Complex UI clean round 1: 2022.53 completed offscreen FPS; p95 0.6762 ms; private 31490048 bytes
Complex UI clean round 2: 2114.99 completed offscreen FPS; p95 0.6239 ms; private 31592448 bytes
Complex UI clean round 3: 2015.84 completed offscreen FPS; p95 0.6291 ms; private 31608832 bytes
Complex UI clean round 4: 1906.29 completed offscreen FPS; p95 0.6729 ms; private 31629312 bytes
Complex UI clean round 5: 2074.86 completed offscreen FPS; p95 0.6437 ms; private 31367168 bytes
Complex UI dirty round 1: 424.791 completed offscreen FPS; p95 2.8006 ms; private 32284672 bytes
Complex UI dirty round 2: 445.996 completed offscreen FPS; p95 2.5947 ms; private 32612352 bytes
Complex UI dirty round 3: 414.982 completed offscreen FPS; p95 2.7688 ms; private 32772096 bytes
Complex UI dirty round 4: 395.305 completed offscreen FPS; p95 2.9605 ms; private 32804864 bytes
Complex UI dirty round 5: 410.157 completed offscreen FPS; p95 2.953 ms; private 32018432 bytes
Complex UI clean round 1: 1994.13 completed offscreen FPS; p95 0.6001 ms; private 31559680 bytes
Complex UI clean round 2: 2175.01 completed offscreen FPS; p95 0.5346 ms; private 31559680 bytes
Complex UI clean round 3: 2206.75 completed offscreen FPS; p95 0.5305 ms; private 31600640 bytes
Complex UI clean round 4: 2320.44 completed offscreen FPS; p95 0.5098 ms; private 31600640 bytes
Complex UI clean round 5: 2120.44 completed offscreen FPS; p95 0.5911 ms; private 31408128 bytes
Complex UI dirty round 1: 426.748 completed offscreen FPS; p95 2.669 ms; private 32038912 bytes
Complex UI dirty round 2: 437.624 completed offscreen FPS; p95 2.6901 ms; private 32051200 bytes
Complex UI dirty round 3: 425.696 completed offscreen FPS; p95 2.6938 ms; private 32051200 bytes
Complex UI dirty round 4: 402.701 completed offscreen FPS; p95 3.1628 ms; private 32100352 bytes
Complex UI dirty round 5: 430.302 completed offscreen FPS; p95 2.6612 ms; private 32051200 bytes
Complex UI clean round 1: 2180.85 completed offscreen FPS; p95 0.6112 ms; private 31662080 bytes
Complex UI clean round 2: 2150.12 completed offscreen FPS; p95 0.6393 ms; private 31662080 bytes
Complex UI clean round 3: 2059.9 completed offscreen FPS; p95 0.5485 ms; private 31662080 bytes
Complex UI clean round 4: 2039.04 completed offscreen FPS; p95 0.6492 ms; private 31662080 bytes
Complex UI clean round 5: 2189.44 completed offscreen FPS; p95 0.5428 ms; private 31666176 bytes
